,timesteps,full_model,number_of_lymphnodes_positive_by_he_clinical=0,number_of_lymphnodes_positive_by_he_clinical=1,neoplasm_histologic_grade_G3_clinical=0,neoplasm_histologic_grade_G3_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1,stage_event_pathologic_stage_Stage.IIIA_clinical=0,stage_event_pathologic_stage_Stage.IIIA_clinical=1
38,496.0,0.6899604908759551,0.7262011262930831,0.7258677929597496,0.6971574270111356,0.6851011204128278,0.6922986967633447,0.6887600523489212,0.6903840246967659,0.6891288257147675
39,542.0,0.6679968794231782,0.7008703487417471,0.7010370154084139,0.6764079260557736,0.6623808852238793,0.6701961356269446,0.6668706989849308,0.6688151670777264,0.6668047824621522
40,570.0,0.624921526626262,0.6658646797322673,0.6660313463989339,0.6316209120385557,0.6203063537086315,0.6274871040638382,0.6235791908458698,0.6260484842450311,0.62318150118662
41,640.0,0.6036517623934209,0.6496229980407147,0.6497896647073811,0.6099049210278954,0.5993345471944443,0.6065243798386196,0.6021322000283428,0.6046148077231702,0.6021471597201297
42,680.0,0.5587435666749433,0.6031888602536359,0.6033555269203026,0.5652172065787006,0.554410633104153,0.5599743345645921,0.5586022246692296,0.5593931093938389,0.5576597486489728
43,787.0,0.5447038353404947,0.5881947323672672,0.5883613990339338,0.5509100920154277,0.5405556258027334,0.5461242754223575,0.5445624933347815,0.5451545304733607,0.5439269833887045
44,881.0,0.49536996528620014,0.5287321717282703,0.529398838394937,0.5012066936212647,0.4916373627756141,0.4970551534932228,0.49511044549378574,0.4952665218786983,0.495617726139213
45,1083.0,0.49536996528620014,0.5287321717282703,0.529398838394937,0.5012066936212647,0.4916373627756141,0.4970551534932228,0.49511044549378574,0.4952665218786983,0.495617726139213
46,1346.0,0.48059585750454553,0.5159204441456408,0.5165871108123073,0.487416635423126,0.47604848897336915,0.4823707244952546,0.4802765518563406,0.48073063773780994,0.48053506673968494
47,1645.0,0.45608782251561697,0.48805599153059964,0.4887226581972664,0.46447816930694474,0.45056954330378424,0.45845594159322234,0.4552150237503597,0.45622260274888127,0.4560270317507565
48,1863.0,0.40202175627318437,0.4275750279060874,0.428241694572754,0.4057679593597736,0.39975580570907293,0.40557401864001774,0.40024857834638977,0.4022393040767537,0.40173078303985627
