,timesteps,full_model,tobacco_smoking_history_clinical=0,tobacco_smoking_history_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1,anatomic_neoplasm_subdivision_R.Upper_clinical=0,anatomic_neoplasm_subdivision_R.Upper_clinical=1,stage_event_pathologic_stage_Stage.IB_clinical=0,stage_event_pathologic_stage_Stage.IB_clinical=1
31,370.0,0.8604469410159342,0.8608988433106204,0.8608988433106204,0.8602836343194518,0.8609987815419531,0.8606824936898442,0.8600565947405495,0.8520302307832054,0.8821383189387132
32,418.0,0.8503258431073395,0.8493245186583647,0.8493245186583647,0.8498816544923625,0.8511027544950374,0.85043248820604,0.8501369161579355,0.8410648372732477,0.8741811512637705
33,434.0,0.8330464605981096,0.8324831723412824,0.8324831723412824,0.8326093639174548,0.8337227360715557,0.8329908069113644,0.8331241225394755,0.8231663963334918,0.8585190234930733
34,498.0,0.807235984381639,0.8073431352644398,0.8073431352644398,0.8069851897077365,0.8075969596485452,0.8072960905905914,0.8071502247793478,0.7959373315378617,0.8365627839857214
35,578.0,0.799310782076894,0.7990915302392183,0.7990915302392183,0.7992315617206915,0.7992695685701332,0.799451874201339,0.7990806562774201,0.787365094541981,0.8301400630174087
36,610.0,0.7722543674162965,0.7730627153811993,0.7730627153811993,0.772182599154098,0.7721352332094112,0.7723789627133769,0.7720561865312264,0.7602070045357422,0.8036238414688758
37,669.0,0.7528832307563107,0.7538384304892563,0.7538384304892563,0.752649951053334,0.7525701585346121,0.7528946940907326,0.7528429985460492,0.7389236451719345,0.7891034874748634
38,761.0,0.730191159295921,0.7291536603779144,0.7291536603779144,0.7298678734626881,0.7301280969882038,0.730211611025633,0.7301089690406982,0.7140766366544934,0.7717841675784564
39,855.0,0.6935418599459723,0.694334829458975,0.694334829458975,0.6918586703074673,0.6944555094786872,0.6935249015423701,0.6934651182616177,0.6759496810899465,0.7393729013810499
40,896.0,0.6563255368105766,0.6577221326570015,0.6577221326570015,0.6551469998575508,0.6567283094205769,0.6560276356843711,0.6567466818267246,0.6353325513058395,0.7103926230405445
41,940.0,0.6381855139795068,0.6372482862423523,0.6372482862423523,0.6367867151996821,0.6390249097189026,0.6379413563670153,0.6385177042143344,0.6159279712563283,0.6958757004649968
42,1043.0,0.5972349179198763,0.5970172868102187,0.5970172868102187,0.5958682751578301,0.5979407171870615,0.597223959021884,0.5972294547251803,0.576162145420628,0.6522033180870553
43,1158.0,0.5651023335043681,0.5640873518991124,0.5640873518991124,0.5634012189132765,0.5662115960958658,0.5650818041268001,0.5650439515089156,0.5432388338562929,0.6222384558671877
44,1221.0,0.5260983566919852,0.5257423875219585,0.5257423875219585,0.5247651749387289,0.5271522988493128,0.5259824215464757,0.5261898929560903,0.5051594258574408,0.5807083779028103
45,1314.0,0.4788860201214765,0.4815517306775918,0.4815517306775918,0.4777884097329161,0.47983584455498435,0.47891619949521796,0.4788048370881638,0.45860265733181244,0.5317034309671687
46,1445.0,0.44667392448289506,0.44767116542399765,0.44767116542399765,0.44531971524196157,0.44798317850177183,0.44656499771661057,0.44684256038270875,0.4260978003613261,0.49986087326692374
47,1631.0,0.38674303848385183,0.38681972023432093,0.38681972023432093,0.3857926521327742,0.38727165294959803,0.38658368963893974,0.3870011523817045,0.3728801127871993,0.42285755687310217
48,1790.0,0.3308451269730637,0.3326782514994542,0.3326782514994542,0.3300510291156497,0.32991810107060326,0.33009716264950495,0.3320133114903402,0.32060469483704035,0.357790014123644
49,2973.0,0.26212139839620774,0.26252545989501314,0.26252545989501314,0.26145892647675734,0.2616211185111622,0.26123417665313187,0.26345797556103573,0.25087160892532345,0.29153694211589937
